pTiming,rTiming,tTiming
0.5925,0.707875,0.921
1.1925,1.307875,1.521
1.7925,1.907875,2.121
2.3925,2.507875,2.721
2.9925,3.107875,3.321
3.5925,3.707875,3.921
4.1925,4.307875,4.521
4.7925,4.907875,5.121
5.3925,5.507875,5.721
5.9925,6.107875,6.321
6.5925,6.707875,6.921
7.1925,7.307875,7.521
7.7925,7.907875,8.121
8.3925,8.507875,8.721
8.9925,9.107875,9.321
9.5925,9.707875,9.921
10.1925,10.307875,10.521
10.7925,10.907875,11.121
11.3925,11.507875,11.721
11.9925,12.107875,12.321
12.5925,12.707875,12.921
13.1925,13.307875,13.521
13.7925,13.907875,14.121
14.3925,14.507875,14.721
14.9925,15.107875,15.321
15.5925,15.707875,15.921
16.1925,16.307875,16.521
16.7925,16.907875,17.121
17.3925,17.507875,17.721
17.9925,18.107875,18.321
18.5925,18.707875,18.921
19.1925,19.307875,19.521
19.7925,19.907875,20.121
20.3925,20.507875,20.721
20.9925,21.107875,21.321
21.5925,21.707875,21.921
22.1925,22.307875,22.521
22.7925,22.907875,23.121
23.3925,23.507875,23.721
23.9925,24.107875,24.321
24.5925,24.707875,24.921
25.1925,25.307875,25.521
25.7925,25.907875,26.121
26.3925,26.507875,26.721
26.9925,27.107875,27.321
27.5925,27.707875,27.921
28.1925,28.307875,28.521
28.7925,28.907875,29.121
29.3925,29.507875,29.721
29.9925,30.107875,30.321
30.5925,30.707875,30.921
31.1925,31.307875,31.521
31.7925,31.907875,32.121
32.3925,32.507875,32.721
32.9925,33.107875,33.321
33.5925,33.707875,33.921
34.1925,34.307875,34.521
34.7925,34.907875,35.121
35.3925,35.507875,35.721
35.9925,36.107875,36.321
36.5925,36.707875,36.921
37.1925,37.307875,37.521
37.7925,37.907875,38.121
38.3925,38.507875,38.721
38.9925,39.107875,39.321
39.5925,39.707875,39.921
40.1925,40.307875,40.521
40.7925,40.907875,41.121
41.3925,41.507875,41.721
41.9925,42.107875,42.321
42.5925,42.707875,42.921
43.1925,43.307875,43.521
43.7925,43.907875,44.121
44.3925,44.507875,44.721
44.9925,45.107875,45.321
45.5925,45.707875,45.921
46.1925,46.307875,46.521
46.7925,46.907875,47.121
47.3925,47.507875,47.721
47.9925,48.107875,48.321
48.5925,48.707875,48.921
49.1925,49.307875,49.521
49.7925,49.907875,50.121
50.3925,50.507875,50.721
50.9925,51.107875,51.321
51.5925,51.707875,51.921
52.1925,52.307875,52.521
52.7925,52.907875,53.121
53.3925,53.507875,53.721
53.9925,54.107875,54.321
54.5925,54.707875,54.921
55.1925,55.307875,55.521
55.7925,55.907875,56.121
56.3925,56.507875,56.721
56.9925,57.107875,57.321
57.5925,57.707875,57.921
58.1925,58.307875,58.521
58.7925,58.907875,59.121
59.3925,59.507875,59.721
59.9925,60.107875,60.321
60.5925,60.707875,60.921
61.1925,61.307875,61.521
61.7925,61.907875,62.121
62.3925,62.507875,62.721
62.9925,63.107875,63.321
63.5925,63.707875,63.921
64.1925,64.307875,64.521
64.7925,64.907875,65.121
65.3925,65.507875,65.721
65.9925,66.107875,66.321
66.5925,66.707875,66.921
67.1925,67.307875,67.521
67.7925,67.907875,68.121
68.3925,68.507875,68.721
68.9925,69.107875,69.321
69.5925,69.707875,69.921
70.1925,70.307875,70.521
70.7925,70.907875,71.121
71.3925,71.507875,71.721
71.9925,72.107875,72.321
72.5925,72.707875,72.921
73.1925,73.307875,73.521
73.7925,73.907875,74.121
74.3925,74.507875,74.721
74.9925,75.107875,75.321
75.5925,75.707875,75.921
76.1925,76.307875,76.521
76.7925,76.907875,77.121
77.3925,77.507875,77.721
77.9925,78.107875,78.321
78.5925,78.707875,78.921
79.1925,79.307875,79.521
79.7925,79.907875,80.121
80.3925,80.507875,80.721
80.9925,81.107875,81.321
81.5925,81.707875,81.921
82.1925,82.307875,82.521
82.7925,82.907875,83.121
83.3925,83.507875,83.721
83.9925,84.107875,84.321
84.5925,84.707875,84.921
85.1925,85.307875,85.521
85.7925,85.907875,86.121
86.3925,86.507875,86.721
86.9925,87.107875,87.321
87.5925,87.707875,87.921
88.1925,88.307875,88.521
88.7925,88.907875,89.121
