biTiming,slTiming
0.0125,0.05
0.1,0.135
0.1775,0.2125
0.2525,0.285
0.3275,0.36
0.4025,0.4325
0.4775,0.5125
0.5625,0.595
0.6475,0.6825
0.7325,0.7675
0.815,0.8475
0.895,0.93
0.9725,1.0025
1.05,1.08
1.13,1.165
1.22,1.2525
1.305,1.34
1.385,1.4175
1.4625,1.495
1.5375,1.57
1.61,1.64
1.68,1.7125
1.75,1.785
1.8275,1.865
1.9225,1.9625
2.0175,2.055
2.1075,2.145
2.195,2.2325
2.2825,2.3175
2.3675,2.4025
2.445,2.48
2.5225,2.5575
2.5975,2.63
2.67,2.705
2.7425,2.775
2.8175,2.85
2.8925,2.9225
2.9625,2.995
3.0375,3.0725
3.115,3.1475
3.195,3.2275
3.2725,3.305
3.3475,3.38
3.4225,3.4575
3.5,3.53
3.5725,3.6025
3.6425,3.675
3.715,3.745
3.7825,3.815
3.8525,3.8825
3.92,3.9525
3.99,4.0225
4.065,4.095
4.1375,4.17
4.215,4.25
4.2925,4.3275
4.375,4.41
4.455,4.4875
4.535,4.57
4.6125,4.645
4.69,4.7225
4.7625,4.795
4.835,4.8675
4.9075,4.9375
4.9775,5.01
5.05,5.08
5.12,5.15
5.19,5.2225
5.2625,5.2975
5.3425,5.375
5.42,5.4525
5.5,5.5325
5.5775,5.61
5.6525,5.685
5.725,5.755
5.795,5.8275
5.865,5.8975
5.935,5.9675
6.0075,6.035
6.075,6.105
6.1425,6.175
6.215,6.2475
6.29,6.3225
6.365,6.395
6.4375,6.47
6.51,6.5425
6.5825,6.615
6.655,6.685
6.725,6.7575
6.795,6.825
6.8625,6.895
6.935,6.965
7.0025,7.0325
7.07,7.1
7.1375,7.17
7.2075,7.24
7.28,7.31
7.3525,7.385
7.4275,7.46
7.505,7.5375
7.58,7.6125
7.6575,7.69
7.7325,7.765
7.805,7.8375
7.88,7.9125
7.955,7.9875
8.03,8.0625
8.105,8.1375
8.18,8.2125
8.2575,8.29
8.335,8.3675
8.4125,8.4475
8.49,8.525
8.5675,8.6025
8.645,8.675
8.7175,8.75
8.7925,8.8275
8.87,8.905
8.9475,8.9825
9.025,9.06
9.105,9.1375
9.1825,9.2175
9.2625,9.295
9.3375,9.3725
9.415,9.4475
9.49,9.5225
9.5625,9.595
9.635,9.6675
9.7075,9.7425
9.7825,9.815
9.8575,9.89
9.94,9.975
10.0275,10.0625
10.115,10.15
10.2025,10.235
10.285,10.32
10.3575,10.4025
10.4475,10.48
10.5275,10.56
10.605,10.64
10.685,10.72
10.7625,10.795
10.8375,10.87
10.9125,10.945
10.9875,11.02
11.0625,11.095
11.1375,11.17
11.215,11.25
11.29,11.325
11.37,11.405
11.45,11.485
11.535,11.57
11.6225,11.6575
11.7075,11.74
11.79,11.825
11.87,11.905
11.95,11.9825
12.025,12.0575
12.1,12.135
12.1775,12.2125
12.255,12.2875
12.3325,12.365
12.4075,12.4425
12.49, NULL
