,P,Ptiming
0,-0.011396772545010331,0.5925
1,-0.011321664412550232,1.217
2,-0.008722675057273553,1.805
3,-0.014222106720306996,2.3895
4,-0.012723853357351624,2.987
5,-0.011477004737921015,3.628
6,-0.012899602249290404,4.2795
7,-0.010005962902836996,4.969
8,-0.015466918513678063,5.6585
9,-0.015241874770294882,6.315
10,-0.015175474034187385,6.952
11,-0.01602457035031945,7.5575
12,-0.015788897542094768,8.182
13,-0.010920138772955872,8.8495
14,-0.007215501803816027,9.545
15,-0.00928268348433001,10.24
16,-0.014398218252900353,10.869
17,-0.012890312138015328,11.4785
18,-0.007803965940652536,12.0685
19,-0.016128875441978864,12.652
20,-0.012697385625467437,13.22
21,-0.014936541125138411,13.7945
22,-0.014600215359743391,14.412
23,-0.017763621278290242,15.1905
24,-0.010476792040774747,15.93
25,-0.01609718383665931,16.659
26,-0.018050111161733162,17.3585
27,-0.015197654355033287,18.066
28,-0.01693064768899896,18.7285
29,-0.01946677861333499,19.346
30,-0.014877989945696779,19.9615
31,-0.015338423566895904,20.564
32,-0.01324563042789379,21.1545
33,-0.013135583366794237,21.7355
34,-0.016553942090202688,22.323
35,-0.014700153536201323,22.912
36,-0.016148861956279174,23.4895
37,-0.01256207160945927,24.0975
38,-0.01576213641493096,24.712
39,-0.016778520224253732,25.3535
40,-0.014438726077393806,25.9695
41,-0.016474278425330627,26.5765
42,-0.016305641473798045,27.1855
43,-0.01922120220499738,27.7855
44,-0.014165096436537123,28.363
45,-0.01362347409784734,28.943
46,-0.015128679152015927,29.5025
47,-0.010654573179511843,30.051
48,-0.009827291922599235,30.5945
49,-0.013143047032999367,31.154
50,-0.00856612109221145,31.7055
51,-0.019246391774246953,32.2985
52,-0.014012057212368336,32.8855
53,-0.018373494249772984,33.5165
54,-0.01168987685527493,34.142
55,-0.014814086544839957,34.812
56,-0.015127534841554933,35.4455
57,-0.012371934155728329,36.087
58,-0.012625121893135234,36.7015
59,-0.01900413829190185,37.3125
60,-0.009667494074392682,37.888
61,-0.01506843028290697,38.4745
62,-0.01123191146459332,39.0515
63,-0.014338483689613877,39.624
64,-0.014076870554390102,40.1865
65,-0.00826726035190348,40.74
66,-0.010393102461278309,41.3205
67,-0.014992320271969783,41.912
68,-0.012250387558192419,42.54
69,-0.016847132808114097,43.166
70,-0.015187980414660768,43.8045
71,-0.011808769452543218,44.4115
72,-0.019316399459271362,45.012
73,-0.01006241784135387,45.575
74,-0.014146215320464842,46.1465
75,-0.018577999242956254,46.717
76,-0.010660555936277422,47.28
77,-0.015997865703357567,47.8275
78,-0.007979557372885682,48.382
79,-0.011787906966549409,48.9525
80,-0.015399692172684729,49.529
81,-0.015801718070532524,50.1375
82,-0.01601052866032282,50.7005
83,-0.01535798361267446,51.298
84,-0.01244508936659415,51.8815
85,-0.02112930317790811,52.4675
86,-0.010650083784891105,53.029
87,-0.01687451775583651,53.5865
88,-0.012664851442193363,54.1505
89,-0.010835775567008153,54.709
90,-0.016519288007022827,55.2555
91,-0.007069670694396127,55.797
92,-0.016779036653239245,56.3535
93,-0.007184647218915498,56.9025
94,-0.014361526938687093,57.462
95,-0.013725711893901307,58.026
96,-0.012947530145678765,58.618
97,-0.01673658351917104,59.229
98,-0.013720747926212216,59.843
99,-0.012891713108814578,60.448
100,-0.009123956933021142,61.0565
101,-0.017979350239836454,61.656
102,-0.011334869872884065,62.247
103,-0.019483382368599006,62.8425
104,-0.01634890160940905,63.4345
105,-0.013658956463728143,64.033
106,-0.009803886290323725,64.6335
107,-0.01750113713452261,65.2395
108,-0.011319063015201823,65.862
109,-0.018510151515772018,66.485
110,-0.01266813475256806,67.108
111,-0.017101127600576006,67.7185
112,-0.015703618664426055,68.34
113,-0.01821984321587379,68.945
114,-0.010089442085366333,69.54
115,-0.014775434025807391,70.1435
116,-0.010978653566351429,70.771
117,-0.01705534390019731,71.383
118,-0.013208111725130756,72.003
119,-0.01635506931341278,72.634
120,-0.011280290256420168,73.272
121,-0.016442201767824696,73.9
122,-0.011678208903519505,74.513
123,-0.019920801079628004,75.1155
124,-0.010931947451985639,75.708
